bc,nsub,dip,variant,ncol,nlay,status,rms_all_mm,rms_mid_mm,max_abs_mm,drop_mid_mm,drop_ana_mm,drop_ratio,kgeo
analytical,2,60.0,corrected,42,6,ok,4.998377830218539e-09,7.047427256670152e-09,1.4154726002413298e-08,12.499999996908835,12.500000000000007,0.9999999997527063,"1.0,1.0,1.0"
analytical,2,0.0,corrected_xt3d,42,6,ok,3.1204671250530293e-09,2.8951899893747015e-09,8.812825469384222e-09,49.99999999878434,50.0,0.9999999999756867,"1.0,1.0,1.0"
analytical,2,5.0,corrected_xt3d,42,6,ok,2.959377021852674e-08,3.381255746870636e-08,4.446485540876566e-08,49.62019381811317,49.6201938253052,0.9999999998550585,"1.0,1.0,1.0"
analytical,2,10.0,corrected_xt3d,42,6,ok,4.951698009677815e-08,2.3466803812677004e-08,1.9605514434140048e-07,48.492315514409626,48.49231551964771,0.9999999998919812,"1.0,1.0,1.0"
analytical,2,15.0,corrected_xt3d,42,6,ok,5.708391003766394e-08,3.3439442906264884e-08,2.9160346359802247e-07,46.650635099430914,46.65063509461098,1.0000000001033198,"1.0,1.0,1.0"
analytical,2,20.0,corrected_xt3d,42,6,ok,3.9817720740700504e-08,2.0758284522287375e-08,2.8389279815854707e-07,44.15111107097564,44.15111107797446,0.9999999998414802,"1.0,1.0,1.0"
analytical,2,25.0,corrected_xt3d,42,6,ok,3.63987730751155e-08,4.192910896275376e-08,9.934936207045553e-08,41.06969024434686,41.06969024216348,1.0000000000531628,"1.0,1.0,1.0"
analytical,2,30.0,corrected_xt3d,42,6,ok,2.194214573465808e-08,2.2151309202020915e-08,5.18541459770816e-08,37.50000000896899,37.500000000000014,1.0000000002391727,"1.0,1.0,1.0"
analytical,2,35.0,corrected_xt3d,42,6,ok,2.2314357562079025e-08,2.5433008454110357e-08,4.700131950308162e-08,33.55050359409935,33.55050358314172,1.000000000326601,"1.0,1.0,1.0"
analytical,2,40.0,corrected_xt3d,42,6,ok,6.272616773543521e-09,2.2760726023779556e-09,2.1586982201782234e-08,29.341204441515757,29.34120444167326,0.9999999999946321,"1.0,1.0,1.0"
analytical,2,45.0,corrected_xt3d,42,6,ok,8.437907284160788e-09,7.956823988580724e-09,1.821721939965215e-08,25.000000003216204,25.0,1.000000000128648,"1.0,1.0,1.0"
analytical,2,50.0,corrected_xt3d,42,6,ok,3.1432448148797602e-09,2.3086534149781177e-09,1.6063365915197636e-08,20.658795556923174,20.658795558326748,0.9999999999320593,"1.0,1.0,1.0"
analytical,2,55.0,corrected_xt3d,42,6,ok,8.340005407810235e-09,2.4633725246266677e-09,3.265332448876279e-08,16.449496418131723,16.449496416858278,1.0000000000774156,"1.0,1.0,1.0"
analytical,2,60.0,corrected_xt3d,42,6,ok,3.202238568578036e-09,2.4920049013273167e-09,1.1309848890750374e-08,12.500000000750157,12.500000000000007,1.000000000060012,"1.0,1.0,1.0"
analytical,2,0.0,planview,42,6,ok,9.915860874117229e-09,9.188009744565078e-09,2.0602991535056958e-08,49.99999999938755,50.0,0.9999999999877509,"1.0,1.0,1.0"
analytical,2,5.0,planview,42,6,ok,0.5501322411354613,0.6231962875967301,0.9444857796544193,49.99635063937386,49.6201938253052,1.0075807203694724,"1.0,1.0,1.0"
analytical,2,10.0,planview,42,6,ok,2.1838133723905058,2.473849503545044,3.7492452307790467,49.98551343933978,48.49231551964771,1.0307924648202678,"1.0,1.0,1.0"
analytical,2,15.0,planview,42,6,ok,4.851404872028336,5.495728583802047,8.32905727597283,49.96781768797047,46.65063509461098,1.07110691176298,"1.0,1.0,1.0"
analytical,2,20.0,planview,42,6,ok,8.471853275914029,9.597015221094987,14.544766591864766,49.94380105556084,44.15111107797446,1.131201454191176,"1.0,1.0,1.0"
analytical,2,25.0,planview,42,6,ok,12.935153163766254,14.653093915371116,22.20751201126185,49.914193281904545,41.06969024216348,1.2153535365762511,"1.0,1.0,1.0"
analytical,2,30.0,planview,42,6,ok,18.105689344102906,20.51033821339852,31.084464833271596,49.87989397764555,37.500000000000014,1.3301305060705475,"1.0,1.0,1.0"
analytical,2,35.0,planview,42,6,ok,23.826357766163554,26.99077880088284,40.90590343739127,49.841945313871825,33.55050358314172,1.4855796483161028,"1.0,1.0,1.0"
analytical,2,40.0,planview,42,6,ok,29.923338769488918,33.89751071932214,51.37340832320632,49.80150033977993,29.34120444167326,1.6973229725037102,"1.0,1.0,1.0"
analytical,2,45.0,planview,42,6,ok,36.21137868899746,41.02067642911026,62.16892967390744,49.75978795683061,25.0,1.9903915182732241,"1.0,1.0,1.0"
analytical,2,50.0,planview,42,6,ok,42.49941860992247,48.14384213886115,72.96445101723658,49.718075573286605,20.658795558326748,2.406629923458786,"1.0,1.0,1.0"
analytical,2,55.0,planview,42,6,ok,48.59639961287925,55.05057405743216,83.43195590166762,49.67763059933016,16.449496416858278,3.0200092051704392,"1.0,1.0,1.0"
analytical,2,60.0,planview,42,6,ok,54.31706803459245,61.531014644380576,93.25339450504936,49.639681935202844,12.500000000000007,3.971174554816225,"1.0,1.0,1.0"
analytical,2,0.0,planview_xt3d,42,6,ok,3.1204671250530293e-09,2.8951899893747015e-09,8.812825469384222e-09,49.99999999878434,50.0,0.9999999999756867,"1.0,1.0,1.0"
analytical,2,5.0,planview_xt3d,42,6,ok,0.550116001802878,0.6231503701339026,0.9445440224125357,49.99632866243371,49.6201938253052,1.0075802774663225,"1.0,1.0,1.0"
analytical,2,10.0,planview_xt3d,42,6,ok,2.183649217732034,2.473116095229558,3.7493152192248633,49.98516194784648,48.49231551964771,1.0307852164245261,"1.0,1.0,1.0"
analytical,2,15.0,planview_xt3d,42,6,ok,4.848657984914572,5.491735035800564,8.329696263367186,49.96588360905805,46.65063509461098,1.0710654529723658,"1.0,1.0,1.0"
analytical,2,20.0,planview_xt3d,42,6,ok,8.462339424669777,9.583582391162569,14.54536198741685,49.93725355917518,44.15111107797446,1.1310531567593378,"1.0,1.0,1.0"
analytical,2,25.0,planview_xt3d,42,6,ok,12.917674832532295,14.620303087246675,22.20946802226316,49.89826879216996,41.06969024216348,1.2149657934586213,"1.0,1.0,1.0"
analytical,2,30.0,planview_xt3d,42,6,ok,18.066752027380865,20.441932230259305,31.090192341392488,49.84678980530587,37.500000000000014,1.3292477281414894,"1.0,1.0,1.0"
