bc,nsub,dip,variant,ncol,nlay,status,rms_all_mm,rms_mid_mm,max_abs_mm,drop_mid_mm,drop_ana_mm,drop_ratio,kgeo
analytical,1,60.0,corrected,21,3,ok,5.714567105730147e-07,5.487569484710646e-07,1.1605174599083057e-06,631.2499997340994,631.2500000000003,0.999999999578771,"1.0,0.01,1.0"
analytical,1,0.0,corrected_xt3d,21,3,ok,1.4271978355364511e-06,1.7112397778641945e-06,2.933646214842156e-06,2524.999999572075,2524.9999999999995,0.999999999830525,"1.0,0.01,1.0"
analytical,1,5.0,corrected_xt3d,21,3,ok,1.7339534093854478e-06,1.5083391045710264e-06,3.453473951253727e-06,2505.8197871554357,2505.819788177912,0.9999999995919594,"1.0,0.01,1.0"
analytical,1,10.0,corrected_xt3d,21,3,ok,2.733137018770954e-06,2.4953444949823404e-06,4.5460657460694165e-06,2448.861935285604,2448.8619337422087,1.00000000063025,"1.0,0.01,1.0"
analytical,1,15.0,corrected_xt3d,21,3,ok,1.3286030235554149e-06,1.2524363614934943e-06,2.244194163836255e-06,2355.857071571152,2355.857072277854,0.9999999997000233,"1.0,0.01,1.0"
analytical,1,20.0,corrected_xt3d,21,3,ok,3.5596716754245226e-06,4.0513724596935955e-06,4.962410038444887e-06,2229.6311071582804,2229.63110943771,0.999999998977665,"1.0,0.01,1.0"
analytical,1,25.0,corrected_xt3d,21,3,ok,5.968017162567225e-07,6.455154454777174e-07,1.0986926923806095e-06,2074.019357609052,2074.0193572292565,1.0000000001831206,"1.0,0.01,1.0"
analytical,1,30.0,corrected_xt3d,21,3,ok,1.2749809631446818e-07,1.1458471754881432e-07,4.2283532231124354e-07,1893.749999998794,1893.7500000000005,0.9999999999993628,"1.0,0.01,1.0"
analytical,1,35.0,corrected_xt3d,21,3,ok,2.077400056927683e-06,1.8737695200686388e-06,3.242007995396534e-06,1694.3004298124722,1694.3004309486564,0.9999999993294081,"1.0,0.01,1.0"
analytical,1,40.0,corrected_xt3d,21,3,ok,1.3710347146021183e-06,1.395336752163236e-06,2.4066588721893822e-06,1481.7308234775705,1481.7308243044993,0.999999999441917,"1.0,0.01,1.0"
analytical,1,45.0,corrected_xt3d,21,3,ok,3.0943568899241644e-07,3.537296527316319e-07,6.739457880655664e-07,1262.500000157427,1262.5000000000005,1.0000000001246943,"1.0,0.01,1.0"
analytical,1,50.0,corrected_xt3d,21,3,ok,1.705267227003986e-06,1.655452339722479e-06,3.065136588986661e-06,1043.2691768008353,1043.2691756955007,1.0000000010594912,"1.0,0.01,1.0"
analytical,1,55.0,corrected_xt3d,21,3,ok,2.724868356794811e-06,2.6321020423698495e-06,4.659624464053991e-06,830.6995707086402,830.699569051343,1.0000000019950621,"1.0,0.01,1.0"
analytical,1,60.0,corrected_xt3d,21,3,ok,2.951653226182709e-08,2.8621436682985878e-08,8.710054899552233e-08,631.2500000076577,631.2500000000003,1.0000000000121305,"1.0,0.01,1.0"
analytical,1,0.0,planview,21,3,ok,2.7073875875783614e-07,3.8367990344299534e-07,5.332521091361286e-07,2524.999999843837,2524.9999999999995,0.9999999999381534,"1.0,0.01,1.0"
analytical,1,5.0,planview,21,3,ok,8.003233103553649,10.17789614691738,13.375597036629827,2512.2596104115305,2505.819788177912,1.0025699462762647,"1.0,0.01,1.0"
analytical,1,10.0,planview,21,3,ok,31.769768134097035,40.402344603877886,53.09598994949294,2474.4255582094893,2448.8619337422087,1.0104389815183314,"1.0,0.01,1.0"
analytical,1,15.0,planview,21,3,ok,70.57745701994624,89.75497685915883,117.95427748341592,2412.6474032775986,2355.857072277854,1.0241060171552914,"1.0,0.01,1.0"
analytical,1,20.0,planview,21,3,ok,123.2471579818539,156.73624827681888,205.97978591225808,2328.802249857706,2229.63110943771,1.044478721166124,"1.0,0.01,1.0"
analytical,1,25.0,planview,21,3,ok,188.1785301890446,239.3109681459392,314.49790636739914,2225.437691399809,2074.0193572292565,1.0730071942881174,"1.0,0.01,1.0"
analytical,1,30.0,planview,21,3,ok,263.398660217187,334.97013895850523,440.21136269195347,2105.69440364084,1893.7500000000005,1.1119178369060538,"1.0,0.01,1.0"
analytical,1,35.0,planview,21,3,ok,346.6220235015687,440.80720623682197,579.3004163994789,1973.2107264408119,1694.3004309486564,1.164616788379137,"1.0,0.01,1.0"
analytical,1,40.0,planview,21,3,ok,435.31992248246706,553.6063650081715,727.5389184173026,1832.0121102766425,1481.7308243044993,1.2364000803833985,"1.0,0.01,1.0"
analytical,1,45.0,planview,21,3,ok,526.7973178874927,669.9402743262007,880.4227212420517,1686.3888053483572,1262.5000000000005,1.3357535091868171,"1.0,0.01,1.0"
analytical,1,50.0,planview,21,3,ok,618.2747135463455,786.2741840312369,1033.306524517851,1540.7655006254681,1043.2691756955007,1.476862861972615,"1.0,0.01,1.0"
analytical,1,55.0,planview,21,3,ok,706.9726160750363,899.0733480320674,1181.5450323923708,1399.5668871506389,830.699569051343,1.6848051200374896,"1.0,0.01,1.0"
analytical,1,60.0,planview,21,3,ok,790.195979987504,1004.9104162335569,1320.6340871534744,1267.0832104380427,631.2500000000003,2.0072605313869976,"1.0,0.01,1.0"
analytical,1,0.0,planview_xt3d,21,3,ok,1.4271978355364511e-06,1.7112397778641945e-06,2.933646214842156e-06,2524.999999572075,2524.9999999999995,0.999999999830525,"1.0,0.01,1.0"
analytical,1,5.0,planview_xt3d,21,3,ok,7.941476741793281,10.077658278032235,13.280641105044566,2512.194603101466,2505.819788177912,1.0025440037442552,"1.0,0.01,1.0"
